"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"22955","LAUREN MCCOY",2004-07-27,"NYT",8,27,1994,8,NA,1994,1,9408023,1,"ORANGE COUNTY FIGHTS POLLUTION RATING",0,"LOCAL BUSINESSMEN","LAUNCHED AD CAMPAIGN","ORANGE COUNTY, NEW YORK","POLLUTION RATING","LOWERING THE POLLUTION RATING","COLLECTIVE, CLAIMS MADE, PUBLIC",25,"A",21,1,"NY","","","",1,"WEST POINT","",NA,"",0,NA,2,1,1500,1800,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1108,1,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,98,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705
"14617","KRISTY KAPTUR",2000-12-08,"NYT",10,3,1979,10,2,1979,NA,7910014,1,"SCHOOL FOR THE DEAF STRUCK BY TEACHERS",0,"TEACHERS","STRIKE","JACKSON HEIGHTS, QUEENS, NY","PRIVATE SCHOOL","OBTAIN INCREASE IN SALARY","COLLECTIVE, CLAIMS MADE, PUBLIC",11,"B",3,1,"NY","","","",1,"QUEENS","",1,"JACKSON HEIGHTS",1,100,NA,1,100,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,0,NA,"","","","",1400,1,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504
"12740","CARISSA WONG",2001-12-09,"NYT",3,29,1977,3,28,1977,1,7703062,1,"NO TITLE",0,"PROTESTERS","PICKETED","DEPARTMENT OF HUMAN RESOURCES IN TRENTON, NJ","GOVERNMENT","WELFARE, AFDC","COLLECTIVE, CLAIMS MADE, PUBLIC",3,"B",1,1,"NJ","","","",1,"TRENTON","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1325,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302
"8452","KAREN CALDWELL -",NA,"NYT",5,12,1970,5,9,1970,NA,7005060,1,"Collegians Warn Congress on War",0,"Protesters","held a rally","at the White House in Washington, DC","to protest the Vietnam War.","","This was a collective, unconventional activity with specific claims.",1,"1",22,1,"DC","","","",1,"WASHINGTON","",NA,"",1,100000,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",711,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"16110","KRISTY",2001-10-01,"NYT",8,22,1981,8,21,1981,1,8108048,1,"AFTER 20 YEARS, YOUNG CONSERVATIVES ENJOY LONG AWAITED RISE TO POWER",0,"SIERRA CLUB AND THE ALL PEOPLE'S CONGRESS","MARCHED WITH SIGNS","BOSTON, MA","INTERIOR SECRETARY","PROTEST ENVIRONMENTAL POLICIES","COLLECTIVE, CLAIMS MADE, PUBLIC",7,"1",33,1,"MA","","","",1,"BOSTON","",NA,"",1,80,NA,1,1800,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,2,"SIERRA CLUB","ALL PEOPLE'S CONGRESS","","",1100,1,1336,2,NA,NA,NA,NA,2,NA,NA,NA,22,20,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700
"550","BELINDA SICHULA",2001-08-15,"NYT",7,12,1960,7,10,1960,1,6007010,1,"MARCHER URGES POWELL TO INTEGRATE CADILLAC",0,"NAACP AND CLARENCE MITCHELL","CIVIL RIGHTS MARCH, RALLY","LOS ANGELES, CA","SEGREGATION","INTEGRATION","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"3",4,1,"CA","","","",1,"LOS ANGELES","",NA,"",0,NA,4,1,1000,401,NA,NA,NA,NA,1,2,1,2,NA,NA,1,1,"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE","","","",1500,1,1501,1,1502,1,NA,NA,2,1,NA,NA,22,27,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"72","JEFF LARSON",2001-04-12,"NYT",2,6,1960,2,5,1960,1,6002010,1,"KLAN TRIES TO HALT NEGROES PROTEST",0,"KU KLUX KLAN ANS WHITE YOUTH","PROTEST AT WOOLWORTHS","GREENSBORO","CIVIL RIGHST ACTIVISTS","ANTI-DESEGREGATION","COLLECTIVE, CLAIMS MADE, PUBLIC",20,"1",5,1,"NC","","","",1,"GREENSBORO","",NA,"",0,NA,2,2,430,NA,430,700,NA,NA,1,1,7,NA,401,NA,1,1,"KU KLUX KLAN","","","",1501,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,52,NA,NA,NA,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"13183","AMY MEYERTHOLEN",2002-01-08,"NYT",11,16,1977,11,15,1977,1,7711036,1,"PENNSYLVANIA STUDENTS PROTEST LAG IN AID FOR COLLEGE",0,"SEVERAL THOUSAND STUDENTS","DEMONSTRATION","STATE CAPITAL IN HARRISBURG, PA","GOVERNMENT","OPPOSE WITHHOLDONG OF UNIVERSITY FUNDS","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"1",11,1,"PA","","","",1,"HARRISBURG","",NA,"",0,NA,5,1,800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1338,2,1342,3,NA,NA,NA,NA,1,NA,NA,NA,28,59,22,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"3943","MIKE MULCAHY",NA,"NYT",7,22,1965,3,15,1965,1,6504083,1,"BOGALUSA STATION CURBED BY KLAN",1,"KKK","BOYCOTT","BOGALUSA, LA","RADIO STATION","PROTEST ANTI-KLAN PUBLICITY","COLLECTIVE, CLAIMS MADE, PUBLIC",22,"1",17,1,"LA","","","",1,"BOGALUSA","",NA,"",0,NA,3,1,430,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,1,"KU KLUX KLAN","","","",1501,2,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"14492","KRISTY KAPTUR",2001-03-28,"NYT",8,26,1979,6,NA,1978,1,7908095,1,"IS KLAN ROLE IN THE STATE WANING",1,"KU KLUX KLAN","DEMONSTRATION, BURNING EFFIGIES, AND D","ATLANTIC CITY, NJ","BLACK PEOPLE","EXPRESS WHITE SUPREMACIST IDEAS","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",28,1,"NJ","","","",1,"ATLANTIC CITY","",NA,"",0,NA,3,1,1800,430,NA,NA,NA,NA,1,1,7,NA,401,NA,1,1,"KU KLUX KLAN","","","",2502,1,NA,NA,NA,NA,NA,NA,1,9,10,NA,10,15,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
