"age","gender","pre_ideology_1","pre_economic_situation","pre_political_interest","pre_religion_importance","total_museums","pre_conf_gov","pre_inst_gov","pre_current_ineq","pre_positive","pre_negative","treatmentgroup","f3","democracy"
21,1,5,2,1,1,4,1,0,3,16,4,1,0,1
20,2,3,3,2,3,5,1,0,4,31,4,1,0,1
23,1,3,2,3,3,10,NA,1,4,29,6,1,0,1
19,1,5,4,1,2,1,2,1,3,11,2,0,1,2
20,3,2,4,3,2,6,1,0,4,25,16,0,1,1
24,1,7,2,1,2,4,1,0,3,15,3,1,0,2
19,1,1,2,3,1,5,2,1,4,23,3,0,1,1
23,2,4,3,2,1,3,1,0,3,22,25,0,0,1
21,2,6,3,1,1,NA,1,0,4,18,1,0,0,0
19,1,0,1,3,0,4,0,0,4,16,2,0,1,0
21,2,4,2,1,1,1,1,0,4,28,10,0,1,1
19,2,6,3,1,0,6,1,0,4,8,4,0,1,1
21,1,3,2,1,1,7,1,0,3,17,5,1,0,2
21,1,5,3,0,2,6,0,0,1,15,6,0,0,1
22,2,6,2,1,1,7,1,0,4,17,10,1,1,1
19,1,2,3,1,1,6,2,0,3,23,12,0,0,1
20,2,3,2,1,2,6,1,0,4,22,5,0,0,1
19,1,6,1,3,2,3,1,1,4,23,20,1,1,1
20,2,3,1,1,1,4,2,1,4,23,6,1,1,2
20,2,10,2,1,2,3,1,0,4,21,3,1,0,1
22,2,5,3,1,0,5,1,0,4,13,2,1,0,2
19,2,5,3,2,2,NA,2,0,3,23,7,1,1,1
20,2,4.80608365,3,1,1,6,1,1,3,29,8,0,0,1
21,1,3,1,1,1,5,1,0,3,21,17,1,1,1
21,2,2,1,3,2,10,1,0,4,18,2,1,1,1
21,2,5,2,1,1,6,1,0,4,27,3,0,1,1
23,2,0,2,3,2,8,0,0,4,16,11,1,0,1
19,2,4,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,2
20,2,7,3,1,1,2,2,1,3,17,3,1,1,2
19,2,3,4,2,2,5,1,0,4,16,2,0,1,1
20,2,3,4,3,2,9,1,0,4,17,7,0,0,1
19,2,4,2,2,0,6,0,0,4,3,2,1,0,1
22,1,5,3,1,1,8,0,0,3,20,10,0,1,1
21,2,5,3,1,2,4,1,0,4,23,10,0,1,1
21,1,3,2,1,1,5,2,1,3,18,3,1,0,1
22,1,2,2,2,2,8,0,0,3,14,7,0,0,1
20,2,6,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1
21,2,4,1,1,1,NA,0,0,4,15,10,0,0,1
20,2,5,1,3,3,7,1,0,3,20,3,0,1,2
20,2,4,3,1,1,2,1,0,4,14,3,1,0,1
22,2,5,2,2,0,11,2,1,0,24,11,1,1,1
21,1,9,3,1,2,7,0,0,0,26,28,1,0,1
21,1,7,3,1,2,4,1,0,3,17,12,0,1,1
20,2,6,2,1,NA,7,1,0,4,29,7,0,0,1
21,1,6,3,0,0,4,0,0,3,12,2,1,1,1
21,1,5,2,0,2,11,0,0,3,15,5,1,0,2
21,2,5,3,2,2,6,3,0,3,8,4,1,1,2
19,1,3,2,1,1,8,1,0,4,19,10,1,1,2
20,1,8,4,2,3,4,1,0,4,28,8,1,1,1
19,1,6,2,0,0,3,1,0,3,23,11,1,0,2
20,2,7,1,0,2,3,0,0,0,17,22,1,1,1
35,2,8,3,1,3,9,1,0,4,23,2,0,1,1
20,2,5,3,1,1,NA,2,0,4,33,9,1,0,2
21,2,5,4,0,0,3,1,0,3,20,9,0,1,1
20,2,1,1,2,1,5,1,0,3,28,7,0,1,1
28,2,3,2,0,0,7,0,0,4,13,2,1,1,1
21,1,2,3,2,2,8,1,0,3,12,0,1,1,0
28,2,7,3,1,0,5,0,0,3,12,2,0,0,1
18,2,7,2,2,3,5,1,0,4,24,12,1,1,2
