"treat_ind","vf_female","therm_trans_t1"
0,1,NA
0,1,NA
0,0,3
1,1,97
1,1,100
1,1,NA
0,1,NA
1,1,50
1,0,50
0,1,30
0,0,NA
0,1,50
0,1,NA
0,1,NA
1,1,84
1,0,50
1,1,NA
1,1,NA
1,0,NA
1,0,NA
1,1,NA
1,0,NA
0,0,NA
0,1,NA
0,1,50
1,1,NA
0,0,NA
0,1,NA
0,0,NA
1,0,NA
1,1,NA
1,1,NA
1,1,NA
1,1,NA
0,0,NA
0,1,NA
0,1,NA
1,1,NA
1,1,NA
1,0,NA
0,1,NA
1,1,NA
0,1,NA
0,1,NA
0,1,NA
1,1,NA
1,0,NA
1,1,NA
1,1,NA
1,0,NA
1,1,NA
0,0,NA
1,0,NA
0,0,NA
1,1,NA
1,0,NA
0,1,NA
0,1,NA
1,1,50
0,0,NA
0,1,NA
1,1,NA
1,1,89
0,1,NA
1,1,NA
0,1,30
0,1,59
0,0,NA
1,0,NA
0,1,NA
0,0,50
0,1,NA
1,1,NA
1,1,50
0,1,NA
0,0,NA
1,1,NA
1,1,NA
1,1,81
0,1,50
0,1,NA
1,1,100
1,1,100
1,1,100
1,1,NA
1,1,NA
0,1,NA
0,1,NA
1,1,19
1,0,NA
1,1,NA
0,1,50
0,0,50
0,1,NA
0,0,50
0,0,50
0,0,50
0,1,NA
0,1,NA
0,0,NA
1,1,NA
1,1,NA
0,1,50
1,1,50
0,1,NA
0,1,65
0,0,NA
0,1,NA
0,1,NA
1,1,NA
1,1,NA
1,0,NA
1,1,50
1,0,50
1,1,78
0,1,NA
1,0,55
1,0,NA
1,1,65
1,1,77
1,1,NA
1,0,81
1,1,0
1,1,0
1,1,50
1,1,50
1,1,100
0,0,50
0,0,50
1,1,NA
0,0,NA
1,0,NA
0,1,NA
0,0,NA
0,1,NA
0,0,NA
0,1,NA
0,0,NA
0,0,NA
0,1,NA
0,1,NA
1,0,NA
1,1,50
1,0,NA
0,1,1
1,1,84
1,1,NA
1,1,NA
0,0,NA
1,1,NA
1,1,NA
